Month,Date,Total Monthly Payment,Interest Payment,Principal Payment,Other Fees,Remaining Balance
1,2023-06-01,1730.0,1089.05,420.95,220,45035.05
2,2023-07-01,1730.0,1078.96,431.04,220,44604.01
3,2023-08-01,1730.0,1068.64,441.36,220,44162.65
4,2023-09-01,1730.0,1058.06,451.94,220,43710.72
5,2023-10-01,1730.0,1047.24,462.76,220,43247.95
6,2023-11-01,1730.0,1036.15,473.85,220,42774.1
7,2023-12-01,1730.0,1024.8,485.2,220,42288.9
8,2024-01-01,1233.17,1013.17,0.0,220,42288.9
9,2024-02-01,1730.0,1013.17,496.83,220,41792.07
10,2024-03-01,1730.0,1001.27,508.73,220,41283.34
11,2024-04-01,1730.0,509.91,1000.09,220,20283.25
12,2024-05-01,1730.0,485.95,1024.05,220,19259.2
13,2024-06-01,1730.0,461.42,1048.58,220,18210.62
14,2024-07-01,1730.0,436.3,1073.7,220,17136.92
15,2024-08-01,1730.0,410.57,1099.43,220,16037.49
16,2024-09-01,1730.0,384.23,1125.77,220,14911.72
17,2024-10-01,1730.0,357.26,1152.74,220,13758.98
18,2024-11-01,1730.0,329.64,1180.36,220,12578.62
19,2024-12-01,1730.0,301.36,1208.64,220,11369.99
20,2025-01-01,492.41,272.41,0.0,220,11369.99
21,2025-02-01,1730.0,272.41,1237.59,220,10132.39
22,2025-03-01,1730.0,242.76,1267.24,220,8865.15
23,2025-04-01,1730.0,212.39,1297.61,220,7567.54
24,2025-05-01,1730.0,181.31,1328.69,220,6238.85
25,2025-06-01,1730.0,149.47,1360.53,220,4878.32
26,2025-07-01,1730.0,116.88,1393.12,220,3485.2
27,2025-08-01,1730.0,83.5,1426.5,220,2058.7
28,2025-09-01,1730.0,49.32,1460.68,220,598.02
29,2025-10-01,1730.0,14.33,1495.67,220,-897.65
