Effective date,Open date,Supplier,Account status,Account type,Facility,Balance,Instalment,Details
30 Apr 2024,14 Jan 2022,NEDBANK CREDIT CARD,Open,CREDIT CARD,33600,32527,1670,No payment missed
30 Apr 2024,27 Sep 2018,WESBANK MOTOR LOANS,Open,VEHICLE ASSET FINANCE,242624,78064,4448,No payment missed
30 Apr 2024,22 Sep 2018,FNB CREDIT CARD,Open,CREDIT CARD,50000,34280,786,No payment missed
30 Apr 2024,19 Aug 2019,TELKOM MOBILE,Open,CELLULAR ACCOUNTS,0,458,458,No payment missed
30 Apr 2024,26 Apr 2018,MTN,Open,CELLULAR ACCOUNTS,0,1030,1030,No payment missed
30 Apr 2024,28 Apr 2023,STD BANK - MASTER CARD,Open,CREDIT CARD,90000,90371,2715,No payment missed
10 Apr 2024,13 Jan 2022,FNB PERSONAL LOANS,Open,BANK PERSONAL LOAN,201207,151443,6815,No payment missed
10 Apr 2024,18 Apr 2023,FNB PERSONAL LOANS,Open,BANK PERSONAL LOAN,45027,42124,1730,No payment missed
31 Mar 2024,15 Feb 2023,FNB REVOLVING FACILITY,Open,REVOLVING PERSONAL LOAN,135000,132403,4006,No payment missed
7 Feb 2023,10 Aug 2021,CONNECT FINANCIAL SOLUTIONS,Closed,NON BANK PERSONAL LOAN,16506,0,0,No payment missed
19 Feb 2024,23 Dec 2022,FNB PERSONAL LOANS,Closed,BANK PERSONAL LOAN,19207,0,0,No payment missed
Total,,,,,819846,584908,28245,
